Number	Label	All Degree of N5 (9)	Weighted All Degree of N5 (9)	All closeness centrality in N5 (9)	Betweenness centrality in N5 (9)	H&A	PorcentajeCD	PorcentajeWD	PorcentajeC	PorcentajeB	PorcentajeHA	Agregacion
1	47	1	1	0,347826087	0	6,89E-04	0,757575758	0,265251989	3,233577867	0	2,07E-02	1,167210938
2	48	2	3,5	0,516129032	0,125	0,022966788	1,515151515	0,928381963	4,798212316	16,48351647	6,89E-01	2,247176974
3	49	14	39	0,888888889	0,443849206	0,305874142	10,60606061	10,34482759	8,263587882	58,52956557	9,17E+00	10,35094416
4	58	9	15	0,666666667	0,125	0,12800726	6,818181818	3,978779841	6,197690914	16,48351647	3,84E+00	5,646757861
5	59	11	40,5	0,727272727	0,010515873	0,360854351	8,333333333	10,74270557	6,761117355	1,386708526	1,08E+01	8,813657489
6	60	10	37,5	0,695652174	0,004166667	0,346828956	7,575757576	9,946949602	6,467155734	0,549450593	1,04E+01	8,171302892
7	61	9	21,5	0,64	0	0,214350209	6,818181818	5,702917772	5,949783274	0	6,43E+00	6,126975028
8	62	10	32	0,695652174	0,004166667	0,30801053	7,575757576	8,48806366	6,467155734	0,549450593	9,24E+00	7,614124447
9	63	11	40	0,727272727	0,010515873	0,354596908	8,333333333	10,61007958	6,761117355	1,386708526	1,06E+01	8,759731675
10	64	11	36,5	0,727272727	0,010515873	0,332279214	8,333333333	9,681697613	6,761117355	1,386708526	9,97E+00	8,408024657
11	65	11	38,5	0,727272727	0,010515873	0,349520649	8,333333333	10,21220159	6,761117355	1,386708526	1,05E+01	8,614384667
12	66	11	36,5	0,727272727	0,010515873	0,333347645	8,333333333	9,681697613	6,761117355	1,386708526	1,00E+01	8,409306396
13	67	10	16	0,666666667	0,003571429	0,152101221	7,575757576	4,24403183	6,197690914	0,47095767	4,56E+00	5,873526206
14	68	1	2,5	0,41025641	0	0,009602866	0,757575758	0,663129973	3,813963635	0	2,88E-01	1,462257954
15	74	2	5	0,5	0	0,02480709	1,515151515	1,326259947	4,648268183	0	7,44E-01	2,186320782
16	75	2	5	0,5	0	0,02480709	1,515151515	1,326259947	4,648268183	0	7,44E-01	2,186320782
17	77	7	7	0,592592593	0	0,0656731	5,303030303	1,856763926	5,509058591	0	1,97E+00	3,961977094
		132	377	10,75669433	0,758333334	3,33E+00						
