Number	Label	"All Degree of N6 (17)"	"Weighted All Degree of N6 (17)"	"All closeness centrality in N6 (17)"	"Betweenness centrality in N6 (17)"	"Hub Weights of N6 (17)"	"Authority Weights of N6 (17)"	"Hub Weights of N6 [diag] (17)"	"Authority Weights of N6 [diag] (17)"
1	47	1	1	0,347826087	0	6,8917021E-4	6,8917039E-4	6,8917040E-4	6,8917248E-4
2	48	2	3,500000000	0,516129032	0,125000000	0,022966788	0,022966787	0,022966790	0,022966791
3	49	14	39	0,888888889	0,443849206	0,305874142	0,305874146	0,305874143	0,305874169
4	58	9	15	0,666666667	0,125000000	0,128007260	0,128007261	0,128007260	0,128007264
5	59	11	40,500000000	0,727272727	0,010515873	0,360854351	0,360854350	0,360854352	0,360854344
6	60	10	37,500000000	0,695652174	0,004166667	0,346828956	0,346828954	0,346828956	0,346828950
7	61	9	21,500000000	0,640000000	0	0,214350209	0,214350210	0,214350207	0,214350208
8	62	10	32	0,695652174	0,004166667	0,308010530	0,308010531	0,308010529	0,308010528
9	63	11	40	0,727272727	0,010515873	0,354596908	0,354596906	0,354596908	0,354596902
10	64	11	36,500000000	0,727272727	0,010515873	0,332279214	0,332279213	0,332279215	0,332279210
11	65	11	38,500000000	0,727272727	0,010515873	0,349520649	0,349520648	0,349520649	0,349520645
12	66	11	36,500000000	0,727272727	0,010515873	0,333347645	0,333347647	0,333347644	0,333347648
13	67	10	16	0,666666667	0,003571429	0,152101221	0,152101221	0,152101220	0,152101218
14	68	1	2,500000000	0,410256410	0	0,009602866	0,009602866	0,009602866	0,009602865
15	74	2	5	0,500000000	0	0,024807090	0,024807089	0,024807093	0,024807102
16	75	2	5	0,500000000	0	0,024807090	0,024807089	0,024807093	0,024807102
17	77	7	7	0,592592593	0	0,065673100	0,065673100	0,065673100	0,065673100
