Number	Label	"Output Degree of N8 (75)"
1	1	10
2	2	1
3	3	3
4	4	3
5	5	1
6	6	1
7	7	1
8	8	1
9	9	1
10	10	1
11	11	1
12	12	36
13	13	2
14	14	1
15	15	1
16	16	1
17	17	9
18	18	7
19	19	7
20	20	7
21	21	7
22	22	7
23	23	7
24	24	15
25	25	11
26	26	16
27	27	10
28	28	17
29	29	4
30	30	8
31	31	2
32	32	4
33	33	1
34	34	2
35	35	6
36	36	6
37	37	6
38	38	6
39	39	6
40	40	3
41	41	1
42	42	11
43	43	3
44	44	3
45	45	2
46	46	1
47	47	1
48	48	2
49	49	22
50	50	6
51	51	2
52	52	5
53	53	2
54	56	18
55	57	2
56	58	11
57	59	15
58	60	11
59	61	9
60	62	11
61	63	13
62	64	12
63	65	13
64	66	12
65	67	10
66	68	1
67	69	10
68	70	10
69	71	10
70	72	9
71	73	3
72	74	2
73	75	2
74	76	7
75	77	7
