Number	Label	vector_red_depurada (75)	vector_aleatorio (75)	vector_libre_escala (75)	vector_pequeno_mundo (75)													
1	v1	10	9	59	6													
2	v2	1	8	14	6													
3	v3	3	6	21	6													
4	v4	3	6	52	6													
5	v5	1	3	23	5													
6	v6	1	7	35	7													
7	v7	1	6	15	5													
8	v8	1	3	5	3													
9	v9	1	8	17	6													
10	v10	1	4	10	5													
11	v11	1	10	6	6													
12	v12	36	9	7	8													
13	v13	2	8	4	6													
14	v14	1	4	10	8													
15	v15	1	6	10	8					Etiquetas de fila	Cuenta de vector_red_depurada (75)						Etiquetas de fila	Cuenta de vector_aleatorio (75)
16	v16	1	8	3	7					1	16						1	1
17	v17	9	5	20	5					2	10						3	7
18	v18	7	7	19	7					3	6						4	8
19	v19	7	4	15	8					4	2						5	5
20	v20	7	11	9	7					5	1						6	14
21	v21	7	8	3	7					6	6						7	10
22	v22	7	8	9	5					7	8						8	11
23	v23	7	5	1	4					8	1						9	8
24	v24	15	7	4	6					9	3						10	6
25	v25	11	5	10	6					10	6						11	3
26	v26	16	10	2	6					11	5						12	2
27	v27	10	5	5	8					12	2						(en blanco)	
28	v28	17	7	6	4					13	2						Total general	75
29	v29	4	6	4	4					15	2							
30	v30	8	9	5	6					16	1							
31	v31	2	6	12	6					17	1							
32	v32	4	6	4	6					18	1							
33	v33	1	6	1	5					22	1							
34	v34	2	10	3	3					36	1							
35	v35	6	9	4	6					(en blanco)								
36	v36	6	6	0	5					Total general	75							
37	v37	6	4	3	6													
38	v38	6	1	3	5													
39	v39	6	9	3	7													
40	v40	3	10	4	6													
41	v41	1	7	6	5													
42	v42	11	8	2	5													
43	v43	3	6	2	5													
44	v44	3	8	3	7													
45	v45	2	6	3	7													
46	v46	1	8	3	3													
47	v47	1	10	0	8													
48	v48	2	8	4	5													
49	v49	22	6	1	4													
50	v50	6	9	6	7													
51	v51	2	3	1	11													
52	v52	5	7	0	5													
53	v53	2	12	2	6													
54	v54	18	4	1	5													
55	v55	2	6	2	8													
56	v56	11	11	0	8					Etiquetas de fila	Cuenta de vector_libre_escala (75)						Etiquetas de fila	Cuenta de vector_pequeno_mundo (75)
57	v57	15	7	2	6					0	12						3	4
58	v58	11	4	2	4					1	11						4	6
59	v59	9	8	2	9					2	10						5	18
60	v60	11	3	1	3					3	9						6	23
61	v61	13	4	2	6					4	7						7	11
62	v62	12	6	0	4					5	3						8	10
63	v63	13	9	1	8					6	4						9	2
64	v64	12	10	1	9					7	1						11	1
65	v65	10	3	1	5					9	2						(en blanco)	
66	v66	1	11	1	7					10	4						Total general	75
67	v67	10	7	0	5					12	1							
68	v68	10	12	0	6					14	1							
69	v69	10	7	0	6					15	2							
70	v70	9	7	1	5					17	1							
71	v71	3	9	0	5					19	1							
72	v72	2	3	2	6					20	1							
73	v73	2	4	0	8					21	1							
74	v74	7	3	0	6					23	1							
75	v75	7	5	0	7					35	1							
										52	1							
										59	1							
										(en blanco)								
										Total general	75							
